City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
101,Narayanpet,IN,2021-09-25 20:27:12,16.7333,77.5,75.7,85,100,7.09
102,Hay River,CA,2021-09-25 20:27:13,60.8156,-115.7999,55.36,58,40,11.5
103,Chuy,UY,2021-09-25 20:27:13,-33.6971,-53.4616,61.72,86,57,9.13
104,Kununurra,AU,2021-09-25 20:27:14,-15.7667,128.7333,64.38,82,19,0.0
105,Plettenberg Bay,ZA,2021-09-25 20:27:14,-34.0527,23.3716,61.45,60,14,6.89
106,Ribeira Grande,PT,2021-09-25 20:27:14,38.5167,-28.7,72.0,88,75,0.0
107,Venkatagiri,IN,2021-09-25 20:27:15,13.9667,79.5833,83.43,68,97,4.63
108,Agadez,NE,2021-09-25 20:22:28,19.75,10.25,85.42,13,4,9.91
109,Zemio,CF,2021-09-25 20:27:15,5.0314,25.1361,69.44,92,90,0.63
110,Rapid Valley,US,2021-09-25 20:27:15,44.0625,-103.1463,88.03,21,1,1.01
111,Fort Nelson,CA,2021-09-25 20:23:03,58.8053,-122.7002,56.79,35,75,5.75
112,Balkhash,KZ,2021-09-25 20:27:16,46.844,74.9804,49.66,29,0,9.48
113,Bredasdorp,ZA,2021-09-25 20:27:16,-34.5322,20.0403,61.92,72,15,4.61
114,Saldanha,ZA,2021-09-25 20:27:16,-33.0117,17.9442,59.05,90,88,5.41
115,Khasan,RU,2021-09-25 20:27:17,42.4308,130.6434,62.11,88,86,3.47
116,Los Llanos De Aridane,ES,2021-09-25 20:27:17,28.6585,-17.9182,71.35,87,75,4.61
117,Alofi,NU,2021-09-25 20:27:17,-19.0595,-169.9187,75.09,57,40,6.91
118,Barcelona,ES,2021-09-25 20:22:30,41.3888,2.159,76.78,83,20,3.0
119,Najran,SA,2021-09-25 20:27:18,17.4924,44.1277,75.85,16,86,3.85
120,Ancud,CL,2021-09-25 20:27:18,-41.8697,-73.8203,49.53,64,69,15.52
121,Monticello,US,2021-09-25 20:26:55,45.3055,-93.7941,70.56,30,1,14.97
122,Road Town,VG,2021-09-25 20:27:19,18.4167,-64.6167,89.64,66,20,8.05
123,Rawson,AR,2021-09-25 20:27:19,-43.3002,-65.1023,75.18,19,100,27.36
124,Mar Del Plata,AR,2021-09-25 20:27:19,-38.0023,-57.5575,64.0,59,75,21.99
125,Rocha,UY,2021-09-25 20:23:27,-34.4833,-54.3333,62.65,78,46,8.19
126,Jerantut,MY,2021-09-25 20:27:20,3.936,102.3626,74.26,98,98,0.87
127,Mahebourg,MU,2021-09-25 20:27:20,-20.4081,57.7,73.26,83,75,14.97
128,Lavrentiya,RU,2021-09-25 20:27:21,65.5833,-171.0,31.35,86,100,9.01
129,Cacahuatepec,MX,2021-09-25 20:27:21,16.8861,-99.6106,86.36,73,98,5.5
130,Babiciu,RO,2021-09-25 20:27:21,44.0333,24.5667,67.71,39,0,5.37
131,Mount Pleasant,US,2021-09-25 20:27:22,32.7941,-79.8626,80.58,48,1,1.01
132,Saint-Louis,SN,2021-09-25 20:27:22,16.3333,-15.0,96.31,33,16,5.44
133,Clyde River,CA,2021-09-25 20:27:06,70.4692,-68.5914,32.23,86,20,5.75
134,Ljig,RS,2021-09-25 20:27:23,44.2301,20.2382,64.38,60,0,5.5
135,Coquimbo,CL,2021-09-25 20:27:23,-29.9533,-71.3436,62.33,67,0,13.8
136,Sao Filipe,CV,2021-09-25 20:27:24,14.8961,-24.4956,78.76,75,41,5.17
137,Cuamba,MZ,2021-09-25 20:27:24,-14.8031,36.5372,76.77,42,84,5.93
138,Gwanda,ZW,2021-09-25 20:27:24,-20.9333,29.0,65.53,34,0,6.08
139,Umm Kaddadah,SD,2021-09-25 20:27:25,13.6017,26.6876,83.35,53,94,9.75
140,Sarajevo,BA,2021-09-25 20:23:01,43.8486,18.3564,55.31,88,0,0.0
141,Rio Gallegos,AR,2021-09-25 20:27:25,-51.6226,-69.2181,50.05,27,75,17.27
142,Esmeraldas,BR,2021-09-25 20:23:43,-19.7625,-44.3139,80.71,26,100,2.64
143,Baoning,CN,2021-09-25 20:27:26,25.3378,110.026,73.26,94,0,0.0
144,Jacqueville,CI,2021-09-25 20:27:26,5.2052,-4.4146,78.71,88,100,11.86
145,Yumen,CN,2021-09-25 20:27:26,40.2833,97.2,53.6,36,0,2.68
146,Saint-Pierre,RE,2021-09-25 20:27:27,-21.3393,55.4781,71.24,73,0,6.91
147,Ponta Do Sol,PT,2021-09-25 20:27:27,32.6667,-17.1,72.23,73,79,2.59
148,Half Moon Bay,US,2021-09-25 20:26:46,37.4636,-122.4286,85.15,73,75,1.01
149,Carnarvon,AU,2021-09-25 20:27:28,-24.8667,113.6333,66.27,72,40,10.36
150,Georgetown,MY,2021-09-25 20:23:40,5.4112,100.3354,81.9,88,20,3.44
151,Cascais,PT,2021-09-25 20:27:28,38.6979,-9.4215,68.47,71,0,1.01
152,Yabelo,ET,2021-09-25 20:27:28,4.8833,38.0833,63.1,53,77,3.2
153,Port Elizabeth,ZA,2021-09-25 20:27:29,-33.918,25.5701,62.89,59,20,20.71
154,Saint-Ambroise,CA,2021-09-25 20:27:29,48.5501,-71.3324,66.52,53,5,4.7
155,Paamiut,GL,2021-09-25 20:27:29,61.994,-49.6678,34.16,72,0,21.32
156,Kuah,MY,2021-09-25 20:27:30,6.3265,99.8432,78.78,94,20,3.44
157,Prince Rupert,CA,2021-09-25 20:27:30,54.3161,-130.3201,51.89,91,90,3.44
158,Lubbock,US,2021-09-25 20:27:31,33.6001,-101.8338,88.38,20,20,3.0
159,Nanortalik,GL,2021-09-25 20:27:31,60.1432,-45.2371,38.7,71,0,8.63
160,Ostrovnoy,RU,2021-09-25 20:27:31,68.0531,39.5131,42.67,90,72,9.01
161,Kahului,US,2021-09-25 20:27:32,20.8947,-156.47,85.26,78,40,17.27
162,Beloha,MG,2021-09-25 20:27:32,-25.1667,45.05,70.45,73,0,6.46
163,Shunyi,CN,2021-09-25 20:27:33,40.125,116.6453,67.84,94,40,2.24
164,Aswan,EG,2021-09-25 20:27:33,24.0934,32.907,83.86,23,10,14.07
165,Cherskiy,RU,2021-09-25 20:27:33,68.75,161.3,30.61,98,100,9.26
166,Lebu,CL,2021-09-25 20:27:34,-37.6167,-73.65,53.37,74,37,9.64
167,Sun Valley,US,2021-09-25 20:27:34,39.5963,-119.776,88.48,16,40,5.01
168,Bethel,US,2021-09-25 20:27:34,41.3712,-73.414,76.08,60,1,0.0
169,Wattegama,LK,2021-09-25 20:27:35,6.7989,81.4808,75.58,90,100,3.47
170,Poum,NC,2021-09-25 20:27:35,-20.2333,164.0167,72.21,66,82,8.05
171,Pacific Grove,US,2021-09-25 20:24:18,36.6177,-121.9166,84.81,84,1,5.01
172,Leningradskiy,RU,2021-09-25 20:27:36,69.3833,178.4167,25.68,72,100,6.29
173,Isangel,VU,2021-09-25 20:27:36,-19.55,169.2667,70.81,70,73,9.4
174,Yantarnyy,RU,2021-09-25 20:27:37,54.8717,19.9381,48.06,86,2,11.95
